"Table 1.7 Occupational projections, 2016-26, and worker characteristics, 2016
Purchasing managers,11-3061,Line item,73.9,77.9,4.0,5.5,1.3,6.3," $115,760 ",Bachelor's degree,5 years or more,None
"Transportation, storage, and distribution managers",11-3071,Line item,115.5,123.3,7.8,6.7,1.1,9.7," $92,460 ",High school diploma or equivalent,5 years or more,None
Compensation and benefits managers,11-3111,Line item,15.8,16.6,0.8,5.0,—,1.2," $119,120 ",Bachelor's degree,5 years or more,None
Human resources managers,11-3121,Line item,136.1,148.4,12.3,9.1,1.5,12.4," $110,120 ",Bachelor's degree,5 years or more,None
Training and development managers,11-3131,Line item,34.5,38.1,3.6,10.3,—,3.5," $108,250 ",Bachelor's degree,5 years or more,None
Other management occupations,11-9000,Summary,"4,421.0","4,762.0",341.0,7.7,39.7,378.3," $88,720 ",—,—,—
"Farmers, ranchers, and other agricultural managers",11-9013,Line item,"1,028.7","1,020.7",-8.0,-0.8,72.5,74.3," $69,620 ",High school diploma or equivalent,5 years or more,None
Construction managers,11-9021,Line item,403.8,448.6,44.8,11.1,37.8,33.2," $91,370 ",Bachelor's degree,None,Moderate-term on-the-job training
Education administrators,11-9030,Summary,531.6,580.4,48.8,9.2,2.0,45.8," $88,890 ",—,—,—
"Education administrators, preschool and childcare center/program",11-9031,Line item,61.8,68.5,6.7,10.8,4.6,5.5," $46,890 ",Bachelor's degree,Less than 5 years,None
"Education administrators, elementary and secondary school",11-9032,Line item,251.3,271.1,19.8,7.9,0.9,21.2," $94,390 ",Master's degree,5 years or more,None
"Education administrators, postsecondary",11-9033,Line item,180.1,198.3,18.2,10.1,2.5,15.7," $92,360 ",Master's degree,Less than 5 years,None
"Education administrators, all other",11-9039,Line item,38.4,42.5,4.1,10.6,3.0,3.4," $81,630 ",Bachelor's degree,Less than 5 years,None
Architectural and engineering managers,11-9041,Line item,180.1,190.0,9.9,5.5,—,13.6," $137,720 ",Bachelor's degree,5 years or more,None
Food service managers,11-9051,Line item,308.7,336.4,27.6,9.0,34.0,36.8," $52,030 ",High school diploma or equivalent,Less than 5 years,None
Funeral service managers,11-9061,Line item,25.7,27.5,1.8,6.8,66.6,2.0," $78,040 ",Associate's degree,Less than 5 years,None
Gaming managers,11-9071,Line item,4.5,4.6,0.1,2.5,3.0,0.5," $72,930 ",High school diploma or equivalent,Less than 5 years,None
Lodging managers,11-9081,Line item,47.8,49.7,1.9,4.0,24.3,5.0," $51,800 ",High school diploma or equivalent,Less than 5 years,None
Medical and health services managers,11-9111,Line item,352.2,424.3,72.1,20.5,2.6,36.7," $98,350 ",Bachelor's degree,Less than 5 years,None
Natural sciences managers,11-9121,Line item,56.7,62.3,5.6,9.9,—,5.2," $118,970 ",Bachelor's degree,5 years or more,None
Postmasters and mail superintendents,11-9131,Line item,14.2,11.2,-3.0,-20.9,—,0.6," $74,840 ",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Property, real estate, and community association managers",11-9141,Line item,317.3,349.9,32.6,10.3,41.6,28.3," $58,670 ",High school diploma or equivalent,Less than 5 years,None
Social and community service managers,11-9151,Line item,147.3,173.8,26.5,18.0,5.8,16.3," $64,100 ",Bachelor's degree,Less than 5 years,None
Emergency management directors,11-9161,Line item,10.1,10.9,0.8,7.7,—,0.9," $72,760 ",Bachelor's degree,5 years or more,None
"Managers, all other",11-9199,Line item,992.1,"1,071.7",79.5,8.0,56.7,79.2," $105,610 ",Bachelor's degree,Less than 5 years,None
Business and financial operations occupations,13-0000,Summary,"8,066.8","8,840.7",773.8,9.6,5.5,817.7," $67,710 ",—,—,—
Business operations specialists,13-1000,Summary,"5,080.8","5,556.3",475.4,9.4,4.3,528.0," $66,390 ",—,—,—
"Agents and business managers of artists, performers, and athletes",13-1011,Line item,19.1,20.0,0.9,4.7,21.2,2.3," $64,940 ",Bachelor's degree,Less than 5 years,None
Buyers and purchasing agents,13-1020,Summary,446.5,425.2,-21.3,-4.8,3.8,38.6," $62,120 ",—,—,—
"Buyers and purchasing agents, farm products",13-1021,Line item,13.7,12.9,-0.9,-6.2,4.9,1.4, — ,Bachelor's degree,None,Moderate-term on-the-job training
"Wholesale and retail buyers, except farm products",13-1022,Line item,123.3,120.3,-3.0,-2.5,11.5,13.3, — ,Bachelor's degree,None,Moderate-term on-the-job training
"Purchasing agents, except wholesale, retail, and farm products",13-1023,Line item,309.4,292.1,-17.4,-5.6,0.7,23.8, — ,Bachelor's degree,None,Moderate-term on-the-job training
"Claims adjusters, appraisers, examiners, and investigators",13-1030,Summary,328.7,325.1,-3.6,-1.1,1.7,26.0," $64,690 ",—,—,—
"Claims adjusters, examiners, and investigators",13-1031,Line item,311.1,306.7,-4.5,-1.4,1.6,24.5," $64,900 ",High school diploma or equivalent,None,Long-term on-the-job training
"Insurance appraisers, auto damage",13-1032,Line item,17.6,18.5,0.9,4.9,2.0,1.5," $62,100 ",Postsecondary nondegree award,None,Moderate-term on-the-job training
Compliance officers,13-1041,Line item,288.3,312.0,23.7,8.2,0.4,25.9," $67,870 ",Bachelor's degree,None,Moderate-term on-the-job training
Cost estimators,13-1051,Line item,217.9,240.8,22.9,10.5,1.1,24.4," $63,110 ",Bachelor's degree,None,Moderate-term on-the-job training
Human resources workers,13-1070,Summary,631.8,664.7,32.9,5.2,0.9,64.7," $60,570 ",—,—,—
Human resources specialists,13-1071,Line item,547.8,586.7,38.9,7.1,0.9,57.6," $60,350 ",Bachelor's degree,None,None
Farm labor contractors,13-1074,Line item,3.0,3.2,0.2,8.0,—,0.3," $35,660 ",No formal educational credential,Less than 5 years,Short-term on-the-job training
Labor relations specialists,13-1075,Line item,81.1,74.8,-6.3,-7.7,1.0,6.8," $63,200 ",Bachelor's degree,Less than 5 years,None
Logisticians,13-1081,Line item,148.7,159.0,10.3,6.9,—,15.6," $74,590 ",Bachelor's degree,None,None
Management analysts,13-1111,Line item,806.4,921.6,115.2,14.3,17.4,83.9," $82,450 ",Bachelor's degree,Less than 5 years,None
"Meeting, convention, and event planners",13-1121,Line item,116.7,129.4,12.7,10.9,9.5,15.1," $48,290 ",Bachelor's degree,None,None
Fundraisers,13-1131,Line item,90.4,103.8,13.4,14.8,2.3,10.7," $55,640 ",Bachelor's degree,None,None
"Compensation, benefits, and job analysis specialists",13-1141,Line item,84.2,91.3,7.2,8.5,0.2,7.7," $62,680 ",Bachelor's degree,Less than 5 years,None
Training and development specialists,13-1151,Line item,282.8,315.3,32.5,11.5,1.2,31.7," $60,360 ",Bachelor's degree,Less than 5 years,None
Market research analysts and marketing specialists,13-1161,Line item,595.4,733.7,138.3,23.2,3.6,77.1," $63,230 ",Bachelor's degree,None,None
"Business operations specialists, all other",13-1199,Line item,"1,023.9","1,114.3",90.3,8.8,0.6,104.2," $70,010 ",Bachelor's degree,None,None
Financial specialists,13-2000,Summary,"2,986.0","3,284.4",298.4,10.0,7.5,289.6," $70,120 ",—,—,—
Accountants and auditors,13-2011,Line item,"1,397.7","1,537.6",139.9,10.0,6.7,141.8," $69,350 ",Bachelor's degree,None,None
Appraisers and assessors of real estate,13-2021,Line item,80.8,92.4,11.7,14.4,22.6,6.7," $54,010 ",Bachelor's degree,None,Long-term on-the-job training
Budget analysts,13-2031,Line item,58.4,62.2,3.8,6.5,—,4.8," $75,240 ",Bachelor's degree,None,None
Credit analysts,13-2041,Line item,73.8,79.9,6.2,8.4,—,6.8," $71,290 ",Bachelor's degree,None,None
Financial analysts and advisors,13-2050,Summary,672.0,739.2,67.2,10.0,10.8,62.1," $82,770 ",—,—,—
Financial analysts,13-2051,Line item,296.1,328.2,32.2,10.9,2.1,29.0," $84,300 ",Bachelor's degree,None,None
Personal financial advisors,13-2052,Line item,271.9,312.3,40.4,14.9,24.3,25.5," $90,640 ",Bachelor's degree,None,Long-term on-the-job training
Insurance underwriters,13-2053,Line item,104.1,98.6,-5.4,-5.2,—,7.5," $69,760 ",Bachelor's degree,None,Moderate-term on-the-job training
Financial examiners,13-2061,Line item,52.5,57.6,5.1,9.8,0.9,4.6," $81,690 ",Bachelor's degree,None,Long-term on-the-job training
Credit counselors and loan officers,13-2070,Summary,357.0,398.5,41.6,11.6,2.6,34.2," $61,840 ",—,—,—
Credit counselors,13-2071,Line item,38.3,43.6,5.3,13.8,2.1,3.8," $44,710 ",Bachelor's degree,None,Moderate-term on-the-job training
Loan officers,13-2072,Line item,318.6,354.9,36.3,11.4,2.6,30.4," $64,660 ",Bachelor's degree,None,Moderate-term on-the-job training
"Tax examiners, collectors and preparers, and revenue agents",13-2080,Summary,158.0,167.9,9.9,6.3,14.3,15.7," $46,840 ",—,—,—
"Tax examiners and collectors, and revenue agents",13-2081,Line item,62.1,61.7,-0.4,-0.6,—,4.2," $53,130 ",Bachelor's degree,None,Moderate-term on-the-job training
Tax preparers,13-2082,Line item,95.9,106.2,10.3,10.8,23.6,11.5," $38,730 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Financial specialists, all other",13-2099,Line item,135.9,149.0,13.1,9.6,5.0,13.1," $69,520 ",Bachelor's degree,None,Moderate-term on-the-job training
Computer and mathematical occupations,15-0000,Summary,"4,419.0","5,026.5",607.5,13.7,2.6,366.8," $84,560 ",—,—,—
Computer occupations,15-1100,Summary,"4,238.4","4,795.5",557.1,13.1,2.7,349.0," $84,580 ",—,—,—
Computer and information research scientists,15-1111,Line item,27.9,33.2,5.4,19.2,—,2.5," $114,520 ",Master's degree,None,None
Computer and information analysts,15-1120,Summary,700.5,783.4,82.9,11.8,1.9,55.4," $89,280 ",—,—,—
Computer systems analysts,15-1121,Line item,600.5,654.9,54.4,9.1,2.2,44.9," $88,270 ",Bachelor's degree,None,None
Information security analysts,15-1122,Line item,100.0,128.5,28.5,28.5,0.4,10.4," $95,510 ",Bachelor's degree,Less than 5 years,None
Software developers and programmers,15-1130,Summary,"1,714.0","2,019.6",305.6,17.8,4.0,148.7," $97,770 ",—,—,—
Computer programmers,15-1131,Line item,294.9,273.6,-21.3,-7.2,5.4,15.5," $82,240 ",Bachelor's degree,None,None
"Software developers, applications",15-1132,Line item,831.3,"1,086.6",255.4,30.7,2.1,85.7," $101,790 ",Bachelor's degree,None,None
"Software developers, systems software",15-1133,Line item,425.0,472.1,47.1,11.1,2.2,32.9," $107,600 ",Bachelor's degree,None,None
Web developers,15-1134,Line item,162.9,187.2,24.4,15.0,16.2,14.6," $67,990 ",Associate's degree,None,None
Database and systems administrators and network architects,15-1140,Summary,673.4,721.7,48.2,7.2,0.3,48.0," $87,090 ",—,—,—
Database administrators,15-1141,Line item,119.5,133.2,13.7,11.5,0.1,9.3," $87,020 ",Bachelor's degree,None,None
Network and computer systems administrators,15-1142,Line item,391.3,415.3,24.0,6.1,0.2,27.0," $81,100 ",Bachelor's degree,None,None
Computer network architects,15-1143,Line item,162.7,173.2,10.5,6.5,0.9,11.7," $104,650 ",Bachelor's degree,5 years or more,None
Computer support specialists,15-1150,Summary,835.3,923.8,88.5,10.6,2.0,72.0," $52,810 ",—,—,—
Computer user support specialists,15-1151,Line item,636.6,708.7,72.1,11.3,1.9,55.5," $50,210 ","Some college, no degree",None,None
Computer network support specialists,15-1152,Line item,198.8,215.2,16.4,8.3,2.0,16.5," $62,340 ",Associate's degree,None,None
"Computer occupations, all other",15-1199,Line item,287.2,313.8,26.6,9.3,4.6,22.4," $88,510 ",Bachelor's degree,None,None
Mathematical science occupations,15-2000,Summary,180.7,231.0,50.4,27.9,0.8,17.8," $84,060 ",—,—,—
Actuaries,15-2011,Line item,23.6,28.9,5.3,22.5,1.4,2.1," $101,560 ",Bachelor's degree,None,Long-term on-the-job training
Mathematicians,15-2021,Line item,3.1,4.0,0.9,29.7,1.8,0.3," $103,010 ",Master's degree,None,None
Operations research analysts,15-2031,Line item,114.0,145.3,31.3,27.4,—,10.7," $81,390 ",Bachelor's degree,None,None
Statisticians,15-2041,Line item,37.2,49.8,12.6,33.8,2.6,4.4," $84,060 ",Master's degree,None,None
Miscellaneous mathematical science occupations,15-2090,Summary,2.8,3.1,0.3,10.3,2.2,0.2," $57,890 ",—,—,—
Mathematical technicians,15-2091,Line item,0.6,0.6,0.0,7.8,—,0.0, — ,Bachelor's degree,None,None
"Mathematical science occupations, all other",15-2099,Line item,2.2,2.4,0.2,11.0,—,0.2, — ,Bachelor's degree,None,None
Architecture and engineering occupations,17-0000,Summary,"2,601.0","2,795.4",194.3,7.5,2.7,210.1," $79,180 ",—,—,—
"Architects, surveyors, and cartographers",17-1000,Summary,210.9,225.3,14.5,6.9,15.3,16.7," $72,020 ",—,—,—
"Architects, except naval",17-1010,Summary,153.5,160.5,7.0,4.6,20.1,11.7," $76,590 ",—,—,—
"Architects, except landscape and naval",17-1011,Line item,128.8,134.2,5.5,4.2,20.2,9.7," $78,470 ",Bachelor's degree,None,Internship/residency
Landscape architects,17-1012,Line item,24.7,26.3,1.6,6.4,19.6,1.9," $65,760 ",Bachelor's degree,None,Internship/residency
"Surveyors, cartographers, and photogrammetrists",17-1020,Summary,57.4,64.8,7.5,13.0,2.2,5.0," $61,770 ",—,—,—
Cartographers and photogrammetrists,17-1021,Line item,12.6,15.0,2.4,19.4,1.5,1.2," $63,990 ",Bachelor's degree,None,None
Surveyors,17-1022,Line item,44.8,49.8,5.0,11.2,2.4,3.8," $61,140 ",Bachelor's degree,None,Internship/residency
Engineers,17-2000,Summary,"1,681.0","1,820.3",139.3,8.3,1.5,126.6," $92,220 ",—,—,—
Aerospace engineers,17-2011,Line item,69.6,73.8,4.2,6.1,—,4.6," $113,030 ",Bachelor's degree,None,None
Agricultural engineers,17-2021,Line item,2.7,2.9,0.2,8.2,2.8,0.2," $74,780 ",Bachelor's degree,None,None
Biomedical engineers,17-2031,Line item,21.3,22.8,1.5,7.2,—,1.6," $88,040 ",Bachelor's degree,None,None
Chemical engineers,17-2041,Line item,32.7,35.1,2.5,7.5,1.3,2.4," $102,160 ",Bachelor's degree,None,None
Civil engineers,17-2051,Line item,303.5,335.7,32.2,10.6,3.4,25.9," $84,770 ",Bachelor's degree,None,None
Computer hardware engineers,17-2061,Line item,73.6,77.6,4.0,5.5,—,5.1," $115,120 ",Bachelor's degree,None,None
Electrical and electronics engineers,17-2070,Summary,324.6,345.8,21.3,6.5,1.2,23.1," $97,970 ",—,—,—
Electrical engineers,17-2071,Line item,188.3,204.5,16.2,8.6,1.3,13.9," $95,060 ",Bachelor's degree,None,None
"Electronics engineers, except computer",17-2072,Line item,136.3,141.3,5.1,3.7,1.1,9.2," $102,180 ",Bachelor's degree,None,None
Environmental engineers,17-2081,Line item,53.8,58.3,4.5,8.3,0.4,4.0," $86,800 ",Bachelor's degree,None,None
"Industrial engineers, including health and safety",17-2110,Summary,283.8,311.2,27.4,9.6,0.5,21.6," $86,090 ",—,—,—
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,Line item,25.9,28.1,2.2,8.6,0.4,1.9," $88,510 ",Bachelor's degree,None,None
Industrial engineers,17-2112,Line item,257.9,283.0,25.1,9.7,0.5,19.7," $85,880 ",Bachelor's degree,None,None
Marine engineers and naval architects,17-2121,Line item,8.2,9.2,1.0,11.5,—,0.6," $90,970 ",Bachelor's degree,None,None
Materials engineers,17-2131,Line item,27.0,27.5,0.4,1.6,—,1.9," $94,610 ",Bachelor's degree,None,None
Mechanical engineers,17-2141,Line item,288.8,314.1,25.3,8.8,0.5,21.2," $85,880 ",Bachelor's degree,None,None
"Mining and geological engineers, including mining safety engineers",17-2151,Line item,7.3,7.9,0.6,8.2,5.8,0.6," $94,240 ",Bachelor's degree,None,None
Nuclear engineers,17-2161,Line item,17.7,18.4,0.7,3.8,—,1.4," $105,810 ",Bachelor's degree,None,None
Petroleum engineers,17-2171,Line item,33.7,38.8,5.1,15.2,3.6,2.8," $132,280 ",Bachelor's degree,None,None
"Engineers, all other",17-2199,Line item,132.5,141.0,8.5,6.4,4.3,9.5," $97,250 ",Bachelor's degree,None,None
"Drafters, engineering technicians, and mapping technicians",17-3000,Summary,709.2,749.7,40.5,5.7,1.7,66.8," $55,810 ",—,—,—
Drafters,17-3010,Summary,207.7,222.3,14.6,7.0,1.7,19.4," $54,170 ",—,—,—
Architectural and civil drafters,17-3011,Line item,99.6,107.7,8.1,8.1,1.7,9.5," $52,870 ",Associate's degree,None,None
Electrical and electronics drafters,17-3012,Line item,27.4,29.3,1.9,6.8,1.7,2.6," $59,690 ",Associate's degree,None,None
Mechanical drafters,17-3013,Line item,64.8,68.2,3.4,5.2,1.8,5.9," $55,130 ",Associate's degree,None,None
"Drafters, all other",17-3019,Line item,15.9,17.2,1.3,8.0,1.7,1.5," $50,290 ",Associate's degree,None,None
"Engineering technicians, except drafters",17-3020,Summary,441.3,460.8,19.5,4.4,0.7,40.1," $58,170 ",—,—,—
Aerospace engineering and operations technicians,17-3021,Line item,12.1,12.9,0.8,6.6,0.8,1.1," $67,240 ",Associate's degree,None,None
Civil engineering technicians,17-3022,Line item,74.5,81.1,6.6,8.8,0.4,7.2," $51,620 ",Associate's degree,None,None
Electrical and electronics engineering technicians,17-3023,Line item,137.0,139.8,2.7,2.0,0.7,12.0," $63,660 ",Associate's degree,None,None
Electro-mechanical technicians,17-3024,Line item,13.8,14.3,0.5,3.5,0.8,1.2," $56,740 ",Associate's degree,None,None
Environmental engineering technicians,17-3025,Line item,17.0,19.1,2.2,12.9,0.7,1.7," $50,230 ",Associate's degree,None,None
Industrial engineering technicians,17-3026,Line item,63.9,64.3,0.4,0.6,0.8,5.5," $54,280 ",Associate's degree,None,None
Mechanical engineering technicians,17-3027,Line item,46.1,48.4,2.3,5.0,0.8,4.2," $55,360 ",Associate's degree,None,None
"Engineering technicians, except drafters, all other",17-3029,Line item,76.8,80.8,4.0,5.2,0.6,7.1," $62,230 ",Associate's degree,None,None
Surveying and mapping technicians,17-3031,Line item,60.2,66.6,6.4,10.6,9.1,7.2," $43,340 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Life, physical, and social science occupations",19-0000,Summary,"1,299.5","1,424.3",124.8,9.6,4.9,132.8," $64,510 ",—,—,—
Life scientists,19-1000,Summary,325.4,358.0,32.6,10.0,2.6,32.4," $73,700 ",—,—,—
Agricultural and food scientists,19-1010,Summary,43.0,46.1,3.1,7.2,6.9,4.7," $62,910 ",—,—,—
Animal scientists,19-1011,Line item,6.1,6.4,0.4,5.9,3.2,0.7," $60,760 ",Bachelor's degree,None,None
Food scientists and technologists,19-1012,Line item,17.0,18.0,1.0,5.7,9.6,1.8," $63,660 ",Bachelor's degree,None,None
Soil and plant scientists,19-1013,Line item,19.9,21.7,1.8,8.8,5.8,2.2," $62,430 ",Bachelor's degree,None,None
Biological scientists,19-1020,Summary,112.8,122.9,10.1,8.9,2.0,11.0," $74,960 ",—,—,—
Biochemists and biophysicists,19-1021,Line item,31.5,35.1,3.6,11.5,3.1,3.2," $91,190 ",Doctoral or professional degree,None,None
Microbiologists,19-1022,Line item,23.2,25.1,1.9,8.2,2.5,2.2," $69,960 ",Bachelor's degree,None,None
Zoologists and wildlife biologists,19-1023,Line item,19.4,20.9,1.5,7.6,0.9,1.9," $62,290 ",Bachelor's degree,None,None
"Biological scientists, all other",19-1029,Line item,38.7,41.8,3.1,8.0,1.3,3.7," $76,690 ",Bachelor's degree,None,None
Conservation scientists and foresters,19-1030,Summary,34.6,36.6,2.0,5.8,2.0,3.1," $60,970 ",—,—,—
Conservation scientists,19-1031,Line item,22.3,23.7,1.4,6.3,1.9,2.0," $61,480 ",Bachelor's degree,None,None
Foresters,19-1032,Line item,12.3,12.9,0.6,5.0,2.2,1.1," $60,120 ",Bachelor's degree,None,None
Medical scientists,19-1040,Summary,126.1,142.7,16.6,13.2,2.0,12.7," $80,970 ",—,—,—
Epidemiologists,19-1041,Line item,6.1,6.6,0.5,8.8,1.0,0.6," $69,660 ",Master's degree,None,None
"Medical scientists, except epidemiologists",19-1042,Line item,120.0,136.1,16.1,13.4,2.1,12.1," $82,090 ",Doctoral or professional degree,None,None
"Life scientists, all other",19-1099,Line item,8.9,9.7,0.8,9.2,1.5,0.8," $74,540 ",Bachelor's degree,None,None
Physical scientists,19-2000,Summary,278.2,305.3,27.1,9.7,1.7,28.0," $78,790 ",—,—,—
Astronomers and physicists,19-2010,Summary,19.9,22.7,2.8,14.0,—,1.9," $117,220 ",—,—,—
Astronomers,19-2011,Line item,2.0,2.2,0.2,10.0,—,0.2," $100,590 ",Doctoral or professional degree,None,None
Physicists,19-2012,Line item,17.9,20.5,2.6,14.5,—,1.7," $118,830 ",Doctoral or professional degree,None,None
Atmospheric and space scientists,19-2021,Line item,10.4,11.7,1.3,12.0,—,0.9," $92,070 ",Bachelor's degree,None,None
Chemists and materials scientists,19-2030,Summary,96.2,102.5,6.3,6.5,—,9.4," $76,280 ",—,—,—
Chemists,19-2031,Line item,88.3,94.0,5.7,6.5,—,8.6," $74,740 ",Bachelor's degree,None,None
Materials scientists,19-2032,Line item,7.9,8.5,0.6,7.1,—,0.8," $99,530 ",Bachelor's degree,None,None
Environmental scientists and geoscientists,19-2040,Summary,128.2,143.3,15.1,11.8,2.0,13.8," $73,860 ",—,—,—
"Environmental scientists and specialists, including health",19-2041,Line item,89.5,99.4,9.9,11.1,1.8,9.5," $69,400 ",Bachelor's degree,None,None
"Geoscientists, except hydrologists and geographers",19-2042,Line item,32.0,36.5,4.5,14.0,2.7,3.5," $89,850 ",Bachelor's degree,None,None
Hydrologists,19-2043,Line item,6.7,7.4,0.7,9.9,1.4,0.7," $79,990 ",Bachelor's degree,None,None
"Physical scientists, all other",19-2099,Line item,23.5,25.1,1.7,7.2,9.3,2.0," $103,990 ",Bachelor's degree,None,None
Social scientists and related workers,19-3000,Summary,303.8,336.7,32.9,10.8,15.4,26.5," $76,970 ",—,—,—
Economists,19-3011,Line item,21.3,22.6,1.3,6.3,3.6,1.6," $102,490 ",Master's degree,None,None
Survey researchers,19-3022,Line item,14.6,14.9,0.4,2.5,14.2,1.4," $54,270 ",Master's degree,None,None
Psychologists,19-3030,Summary,166.6,189.6,23.0,13.8,23.9,13.6," $77,030 ",—,—,—
"Clinical, counseling, and school psychologists",19-3031,Line item,147.5,168.5,21.0,14.3,24.4,12.1," $75,090 ",Doctoral or professional degree,None,Internship/residency
Industrial-organizational psychologists,19-3032,Line item,1.7,1.8,0.1,8.4,37.2,0.1," $87,100 ",Master's degree,None,Internship/residency
"Psychologists, all other",19-3039,Line item,17.4,19.2,1.8,10.5,18.3,1.3," $97,740 ",Master's degree,None,Internship/residency
Sociologists,19-3041,Line item,3.5,3.5,0.0,1.3,10.9,0.3," $79,650 ",Master's degree,None,None
Urban and regional planners,19-3051,Line item,36.0,40.6,4.6,12.8,—,3.5," $71,490 ",Master's degree,None,None
Miscellaneous social scientists and related workers,19-3090,Summary,61.9,65.4,3.6,5.8,6.3,6.1," $78,680 ",—,—,—
Anthropologists and archeologists,19-3091,Line item,7.6,7.9,0.3,4.5,11.0,0.7," $62,280 ",Master's degree,None,None
Geographers,19-3092,Line item,1.5,1.7,0.1,6.7,4.9,0.2," $76,860 ",Bachelor's degree,None,None
Historians,19-3093,Line item,3.3,3.5,0.2,6.0,5.4,0.3," $59,120 ",Master's degree,None,None
Political scientists,19-3094,Line item,7.3,7.5,0.2,2.8,6.7,0.7," $115,110 ",Master's degree,None,None
"Social scientists and related workers, all other",19-3099,Line item,42.1,44.9,2.7,6.5,5.5,4.2," $79,370 ",Bachelor's degree,None,None
"Life, physical, and social science technicians",19-4000,Summary,392.1,424.3,32.2,8.2,1.0,45.9," $45,780 ",—,—,—
Agricultural and food science technicians,19-4011,Line item,27.5,29.2,1.7,6.3,—,3.0," $39,910 ",Associate's degree,None,Moderate-term on-the-job training
Biological technicians,19-4021,Line item,82.1,90.4,8.4,10.2,—,8.9," $43,800 ",Bachelor's degree,None,None
Chemical technicians,19-4031,Line item,67.3,70.0,2.7,4.0,1.5,6.6," $47,280 ",Associate's degree,None,Moderate-term on-the-job training
Geological and petroleum technicians,19-4041,Line item,15.0,17.4,2.5,16.4,—,1.9," $54,190 ",Associate's degree,None,Moderate-term on-the-job training
Nuclear technicians,19-4051,Line item,6.9,6.9,0.1,0.8,2.8,0.8," $80,370 ",Associate's degree,None,Moderate-term on-the-job training
Social science research assistants,19-4061,Line item,34.0,35.5,1.5,4.3,1.7,4.1," $46,000 ",Bachelor's degree,None,None
"Miscellaneous life, physical, and social science technicians",19-4090,Summary,159.3,174.8,15.4,9.7,1.2,20.7," $45,690 ",—,—,—
"Environmental science and protection technicians, including health",19-4091,Line item,34.6,38.8,4.2,12.1,1.9,4.6," $45,490 ",Associate's degree,None,None
Forensic science technicians,19-4092,Line item,15.4,18.0,2.6,16.8,—,2.2," $57,850 ",Bachelor's degree,None,Moderate-term on-the-job training
Forest and conservation technicians,19-4093,Line item,33.2,34.5,1.3,3.8,—,4.0," $36,130 ",Associate's degree,None,None
"Life, physical, and social science technicians, all other",19-4099,Line item,76.1,83.5,7.4,9.7,1.6,9.9," $48,090 ",Associate's degree,None,None
Community and social service occupations,21-0000,Summary,"2,570.7","2,942.6",371.9,14.5,2.6,330.7," $43,840 ",—,—,—
